research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
info_gen,demo,,,,ig_1_age,numerical,
info_gen,demo,,,,ig_2_sexe,categorical,
info_gen,demo,,,,ig_3_role,categorical,
info_gen,demo,,,,ig_4_sexe_chef_menage,categorical,
info_gen,demo,,,,ig_5_age_chef_menage,numerical,
info_gen,displacement,,,,ig_8_statut,categorical,
info_gen,displacement,,,,ig_11_idp_rtl,categorical,
info_gen,displacement,,,,ig_11_idp_rtl_autre,categorical,
info_gen,displacement,,,,ig_12_idp_length_idp,categorical,
info_gen,displacement,,,,ig_14_idp_cond_retour,categorical,
info_gen,displacement,,,,ig_14_idp_cond_retour_autre,categorical,
info_gen,displacement,,,,ig_16_ret_rapat_dest_finale_oui_non,categorical,
info_gen,displacement,,,,ig_16_ret_rapat_abri_origine_non_raison,categorical,
info_gen,displacement,,,,ig_16_ret_rapat_abri_origine_non_raison_autre,categorical,
info_gen,displacement,,,,ig_17_ret_rapat_dest_finale_non_raison,categorical,
info_gen,displacement,,,,ig_15_rtr_ret_rapat,categorical,
info_gen,displacement,,,,ig_15_idp_rtr_ret_rapat_autre,categorical,
info_gen,comp_hh,,,,ig_6_hh_membres_tot,numerical,
info_gen,comp_hh,,,,ig_9_hote_fa,categorical,
info_gen,comp_hh,,,,ig_10_hote_fa_0_4,numerical,
info_gen,comp_hh,,,,ig_10_hote_fa_5_17,numerical,
info_gen,comp_hh,,,,ig_10_hote_fa_18plus,numerical,
nfi,item_list,,,,bache,categorical,
nfi,item_list,,,,kit_cuisine,categorical,
nfi,item_list,,,,habits_femmes_enfants,categorical,
protection,documentation,,,,doc_legale,categorical,
protection,documentation,,,,doc_legale_nb_filles,numerical,
protection,documentation,,,,doc_legale_nb_garcons,numerical,
protection,documentation,,,,doc_legale_nb_femmes,numerical,
protection,documentation,,,,doc_legale_nb_hommes,numerical,
protection,documentation,,,,doc_propriete,categorical,
nfi,item_list,,,,semence,categorical,
nfi,item_list,,,,outils_aratoires,categorical,
nfi,item_list,,,,cendres,categorical,
nfi,item_list,,,,savon_toilette_azur,numerical,
nfi,item_list,,,,savon_lessive,numerical,
nfi,item_list,,,,pot,numerical,
nfi,item_list,,,,gobelet,numerical,
nfi,item_list,,,,serviette_hyg,numerical,
nfi,item_list,,,,bidons_cap,numerical,
nfi,item_list,,,,nb_seaux,numerical,
nfi,item_list,,,,nb_mousticaire,numerical,
nfi,item_list,,,,nb_casseroles,numerical,
nfi,item_list,,,,nb_couchage,numerical,
nfi,item_list,,,,nb_draps,numerical,
abris,abris,,,,nfi_2_type_abri,categorical,
abris,abris,,,,nfi_propr_abri_propre,categorical,
abris,abris,,,,nfi_propr_abri,categorical,
abris,abris,,,,nfi_4_personnes_abri,numerical,
abris,abris,,,,nfi_5_taille_abri,numerical,
mssc,revenus,,,,mssc_1_revenu,categorical,
mssc,depenses,,,,mssc_3_dep_30j_alim,numerical,
mssc,depenses,,,,mssc_3_dep_30j_elec,numerical,
mssc,depenses,,,,mssc_3_dep_30j_eau,numerical,
mssc,depenses,,,,mssc_3_dep_30j_logement,numerical,
mssc,depenses,,,,mssc_3_dep_30j_tel,numerical,
mssc,depenses,,,,mssc_3_dep_30j_comb,numerical,
mssc,depenses,,,,mssc_3_dep_30j_transport,numerical,
mssc,depenses,,,,mssc_3_dep_30j_hyg,numerical,
mssc,depenses,,,,mssc_3_dep_30j_tabac_alc,numerical,
mssc,depenses,,,,mssc_1_revenu_total_max,numerical,
mssc,depenses,,,,mssc_4_dep_6m_sante,numerical,
mssc,depenses,,,,mssc_4_dep_6m_vet,numerical,
mssc,depenses,,,,mssc_4_dep_6m_educ,numerical,
mssc,depenses,,,,mssc_4_dep_6m_dettes,numerical,
mssc,depenses,,,,mssc_4_dep_6m_construction_log,numerical,
mssc,depenses,,,,mssc_4_dep_6m_fete,numerical,
mssc,depenses,,,,mssc_4_dep_6m_intr_agr,numerical,
mssc,depenses,,,,mssc_4_dep_6m_intr_el,numerical,
mssc,groupement,,,,mssc_6_membres_assoc,categorical,
mssc,groupement,,,,mssc_7_acces_forma_prof,categorical,
mssc,groupement,,,,secal_1_cereales,numerical,
sec_al,fcs_acq,,,,secal_2_cereales,categorical,
sec_al,fcs_acq,,,,secal_1_legumineuse,numerical,
sec_al,fcs_acq,,,,secal_2_legumineuse,categorical,
sec_al,fcs_acq,,,,secal_1_lait,numerical,
sec_al,fcs_acq,,,,secal_2_lait,categorical,
sec_al,fcs_acq,,,,secal_1_viande,numerical,
sec_al,fcs_acq,,,,secal_2_viande,categorical,
sec_al,fcs_acq,,,,secal_1_legumes,numerical,
sec_al,fcs_acq,,,,secal_2_legumes,categorical,
sec_al,fcs_acq,,,,secal_1_fruits,numerical,
sec_al,fcs_acq,,,,secal_2_fruits,categorical,
sec_al,fcs_acq,,,,secal_1_huile,numerical,
sec_al,fcs_acq,,,,secal_2_huile,categorical,
sec_al,fcs_acq,,,,secal_1_sucre,numerical,
sec_al,fcs_acq,,,,secal_2_sucre,categorical,
sec_al,fcs_acq,,,,secal_1_epices,numerical,
sec_al,fcs_acq,,,,secal_2_epices,categorical,
sec_al,fcs,,,,fcs_score,numerical,
sec_al,hhs,,,,secal_3_hhs,categorical,
sec_al,hhs,,,,secal_3_hhs_nb,categorical,
sec_al,hhs,,,,secal_4_hhs,categorical,
sec_al,hhs,,,,secal_4_hhs_nb,categorical,
sec_al,hhs,,,,secal_5_hhs,categorical,
sec_al,hhs,,,,secal_5_hhs_nb,categorical,
sec_al,agri,,,,secal_6_agric,categorical,
sec_al,agri,,,,secal_6_agric_raisons_1,categorical,
sec_al,agri,,,,secal_6_agric_raisons_2,categorical,
sec_al,agri,,,,secal_6_agric_raisons_3,categorical,
sec_al,marche,,,,secal_9_acces_marche,categorical,
wash,acces_eau,,,,wash_1_source_boisson,categorical,
wash,acces_eau,,,,wash_2_source_autre_usage,categorical,
wash,acces_eau,,,,wash_4_temps,categorical,
wash,acces_eau,,,,wash_5_saison_seche,categorical,
wash,acces_eau,,,,wash_6_nb_bidons,numerical,
wash,acces_eau,,,,volume_total_recipients,numerical,
wash,acces_eau,,,,volume_total_recipients_pp,numerical,
wash,acces_eau,,,,wash_9_insuff_raisons_certains_groupes,categorical,
wash,assainissement,,,,wash_10_infra_sanit,categorical,
wash,assainissement,,,,wash_11_sanit_partagee,categorical,
wash,assainissement,,,,wash_12_sanit_partagee_par_genre,categorical,
wash,assainissement,,,,wash_13_sanit_partagee_espace_femmes,categorical,
wash,assainissement,,,,wash_14_suffisant,categorical,
